Ingredient,Substitute 1,Substitute 2,Calories,Protein (g),Fat (g),Carbs (g),Sugar (g),Sodium (mg),Cholesterol (mg)
"CHICKEN,BROILERS OR FRYERS,DK MEAT,THIGH,MEAT & SKN,CKD,BRSD","CHICKEN,BROILERS OR FRYERS,THIGH,MEAT&SKN,CKD,RSTD","CHICKEN,CORNISH GAME HENS,MEAT&SKN,CKD,RSTD",229.0,22.57,15.43,28.47822187560928,12.175499856774563,76.0,139.0
"SOUP,CRM OF ASPARAGUS,CND,COND","CAMPBELL'S RED&WHITE,98% FAT FREE CRM OF BROCCOLI SOUP,COND","CAMPBELL,CAMPBELL'S RED&WHITE,CHICK & DUMPLINGS SOUP,COND",69.0,1.82,3.26,8.52,0.72,661.0,4.0
"SOUP,BLACK BEAN,CND,COND","SOUP,VEG,CND,LO NA,COND","SOUP,VEGETARIAN VEG,CND,COND",91.0,4.83,1.32,15.42,2.49,970.0,76.69220283533261
"CAMPBELL,CAMPBELL'S RED & WHITE,BEEFY MUSHROOM SOUP,COND","SOUP,CHICK NOODLE,CND,COND","GRAVY,TURKEY,CND,RTS",40.0,2.38,1.59,4.76,0.79,706.0,4.0
"SOUP,BEAN W/ PORK,CND,COND","CAMPBELL SOUP,CAMPBELL'S RED & WHITE,BEAN W/ BACON SOUP,COND","SOUP,CHILI BF,CND,COND",129.0,5.88,4.42,16.97,3.0,709.0,2.0
"SOUP,BEAN W/ FRANKFURTERS,CND,COND","SOUP,PEA,SPLIT W/ HAM,CND,COND","SOUP,TOMATO BF W/ NOODLE,CND,COND",142.0,7.6,5.31,16.75,12.175499856774563,831.0,9.0
"SOUP,BEAN W/ HAM,CND,CHUNKY,RTS","SOUP,CHICK VEG,CHUNKY,CND,RTS","SOUP,STOCKPOT,CND,COND",95.0,5.19,3.5,11.16,12.175499856774563,400.0,9.0
"SOUP,BF BROTH OR BOUILLON CND,RTS","SOUP,CHICK BROTH,CND,RTS","GRAVY,AU JUS,CANNED",7.0,1.14,0.22,0.04,12.175499856774563,372.0,76.69220283533261
"SOUP,BF NOODLE,CND,COND","SOUP,CHICK VEG,CND,COND","SOUP,MUSHROOM W/ BF STOCK,CND,COND",67.0,3.85,2.46,7.16,2.06,653.0,4.0
"SOUP,CRM OF CELERY,CND,COND","CAMPBELL SOUP COMPANY,RED&WHITE,25% LESS NA CRM OF MSHR,COND","CAMPBELL COMPANY,CAMPBELL'S RED&WHITE,CHEDDAR CHS SOUP,COND",72.0,1.32,4.46,7.03,1.35,516.0,11.0
